ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,snippet,sentiment
2022-04-07,163.23401276706184,149.70593872560858,168.1771178667676,163.23401276706184,163.23401276706184,-4.5540005945888895,-4.5540005945888895,-4.5540005945888895,0.666341005952975,0.666341005952975,0.666341005952975,-5.220341600541865,-5.220341600541865,-5.220341600541865,0.0,0.0,0.0,158.68001217247294,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-08,163.12774159088005,149.5104573348142,167.72914632860056,163.12774159088005,163.12774159088005,-4.415617470906993,-4.415617470906993,-4.415617470906993,0.6310581140010514,0.6310581140010514,0.6310581140010514,-5.046675584908044,-5.046675584908044,-5.046675584908044,0.0,0.0,0.0,158.71212411997303,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-11,162.80892806233473,149.80407425412668,168.57772594154122,162.80892806233473,162.80892806233473,-3.70200885623806,-3.70200885623806,-3.70200885623806,0.8119409621066012,0.8119409621066012,0.8119409621066012,-4.513949818344662,-4.513949818344662,-4.513949818344662,0.0,0.0,0.0,159.10691920609668,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-12,162.70265688615294,149.44642665701124,168.26765052242808,162.70265688615294,162.70265688615294,-3.68574951390916,-3.68574951390916,-3.68574951390916,0.6485543575538842,0.6485543575538842,0.6485543575538842,-4.334303871463044,-4.334303871463044,-4.334303871463044,0.0,0.0,0.0,159.01690737224376,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-13,162.59638570997117,149.03495049967032,167.99059567702494,162.59638570997117,162.59638570997117,-3.435215836353492,-3.435215836353492,-3.435215836353492,0.7198862168446918,0.7198862168446918,0.7198862168446918,-4.155102053198184,-4.155102053198184,-4.155102053198184,0.0,0.0,0.0,159.1611698736177,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-14,162.49011453378938,149.83980107776097,168.5315658761028,162.49011453378938,162.49011453378938,-3.3112214407302925,-3.3112214407302925,-3.3112214407302925,0.6663410059537364,0.6663410059537364,0.6663410059537364,-3.977562446684028,-3.977562446684028,-3.977562446684028,0.0,0.0,0.0,159.1788930930591,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-18,162.0650298290623,149.7516280762298,169.06103089575086,162.0650298290623,162.0650298290623,-2.503042407008916,-2.503042407008916,-2.503042407008916,0.8119409621082778,0.8119409621082778,0.8119409621082778,-3.314983369117193,-3.314983369117193,-3.314983369117193,0.0,0.0,0.0,159.5619874220534,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-19,161.9587586528805,150.14699213113346,168.7878875806952,161.9587586528805,161.9587586528805,-2.521677213583541,-2.521677213583541,-2.521677213583541,0.6485543575531955,0.6485543575531955,0.6485543575531955,-3.170231571136737,-3.170231571136737,-3.170231571136737,0.0,0.0,0.0,159.43708143929695,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-20,161.85248747669874,150.33405999587197,168.63126661279858,161.85248747669874,161.85248747669874,-2.317852268247257,-2.317852268247257,-2.317852268247257,0.7198862168449368,0.7198862168449368,0.7198862168449368,-3.0377384850921936,-3.0377384850921936,-3.0377384850921936,0.0,0.0,0.0,159.53463520845148,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-21,161.74621630051698,150.552270054424,168.94169262601835,161.74621630051698,161.74621630051698,-2.253147082387572,-2.253147082387572,-2.253147082387572,0.666341005952021,0.666341005952021,0.666341005952021,-2.9194880883395924,-2.9194880883395924,-2.9194880883395924,0.0,0.0,0.0,159.4930692181294,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-22,161.63994512433518,150.37029327014514,168.40052395544924,161.63994512433518,161.63994512433518,-2.186351508554331,-2.186351508554331,-2.186351508554331,0.6310581140047148,0.6310581140047148,0.6310581140047148,-2.8174096225590453,-2.8174096225590453,-2.8174096225590453,0.0,0.0,0.0,159.45359361578085,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-25,161.32113159578986,150.7108926494822,168.14097804661137,161.32113159578986,161.32113159578986,-1.813742493213239,-1.813742493213239,-1.813742493213239,0.8119409621099538,0.8119409621099538,0.8119409621099538,-2.625683455323193,-2.625683455323193,-2.625683455323193,0.0,0.0,0.0,159.50738910257664,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-26,161.21486041960807,149.9943148620377,168.25202564424114,161.21486041960807,161.21486041960807,-1.9562923650374864,-1.9562923650374864,-1.9562923650374864,0.648554357555283,0.648554357555283,0.648554357555283,-2.60484672259277,-2.60484672259277,-2.60484672259277,0.0,0.0,0.0,159.2585680545706,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-27,161.1085892434263,150.0986270076728,168.34242140134415,161.1085892434263,161.1085892434263,-1.887502869781952,-1.887502869781952,-1.887502869781952,0.7198862168448718,0.7198862168448718,0.7198862168448718,-2.607389086626824,-2.607389086626824,-2.607389086626824,0.0,0.0,0.0,159.22108637364437,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-28,161.00231806724454,150.21655006839498,168.65348568032263,161.00231806724454,161.00231806724454,-1.9676346041947923,-1.9676346041947923,-1.9676346041947923,0.6663410059514129,0.6663410059514129,0.6663410059514129,-2.633975610146205,-2.633975610146205,-2.633975610146205,0.0,0.0,0.0,159.03468346304976,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-04-29,160.89604689106275,149.24026169864788,168.21043917767673,160.89604689106275,160.89604689106275,-2.0538788234841445,-2.0538788234841445,-2.0538788234841445,0.6310581140050571,0.6310581140050571,0.6310581140050571,-2.6849369374892014,-2.6849369374892014,-2.6849369374892014,0.0,0.0,0.0,158.8421680675786,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
2022-05-02,160.57723336251743,149.14247723017223,167.84239549782205,160.57723336251743,160.57723336251743,-2.1700419193700227,-2.1700419193700227,-2.1700419193700227,0.811940962104619,0.811940962104619,0.811940962104619,-2.981982881474641,-2.981982881474641,-2.981982881474641,0.0,0.0,0.0,158.4071914431474,,"{'label': 'POSITIVE', 'score': 0.9733139872550964}"
