ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-06-08,130.4195357586347,128.041643498955,144.22313444912623,130.4195357586347,130.4195357586347,5.461032433046247,5.461032433046247,5.461032433046247,1.9100858255396567,1.9100858255396567,1.9100858255396567,3.5509466075065914,3.5509466075065914,3.5509466075065914,0.0,0.0,0.0,135.88056819168096
2022-06-09,130.469692022097,127.72352026401504,143.7801923192386,130.469692022097,130.469692022097,5.5075706807076115,5.5075706807076115,5.5075706807076115,1.8202781077659176,1.8202781077659176,1.8202781077659176,3.6872925729416934,3.6872925729416934,3.6872925729416934,0.0,0.0,0.0,135.9772627028046
2022-06-10,130.51984828555928,128.2867452989848,144.39445892197526,130.51984828555928,130.51984828555928,5.62773358904949,5.62773358904949,5.62773358904949,1.8373290951248287,1.8373290951248287,1.8373290951248287,3.7904044939246617,3.7904044939246617,3.7904044939246617,0.0,0.0,0.0,136.14758187460876
2022-06-13,130.67031707594612,129.05622844202355,144.14159599441166,130.67031707594612,130.67031707594612,5.7831625123900645,5.7831625123900645,5.7831625123900645,1.9041787991136363,1.9041787991136363,1.9041787991136363,3.8789837132764284,3.8789837132764284,3.8789837132764284,0.0,0.0,0.0,136.4534795883362
2022-06-14,130.72047333940841,128.4432650295751,145.00696535205554,130.72047333940841,130.72047333940841,5.773126461938383,5.773126461938383,5.773126461938383,1.9418177187200676,1.9418177187200676,1.9418177187200676,3.8313087432183153,3.8313087432183153,3.8313087432183153,0.0,0.0,0.0,136.4935998013468
2022-06-15,130.77062960287068,128.437261157224,144.40644313938452,130.77062960287068,130.77062960287068,5.655166546960758,5.655166546960758,5.655166546960758,1.9100858255395925,1.9100858255395925,1.9100858255395925,3.745080721421165,3.745080721421165,3.745080721421165,0.0,0.0,0.0,136.42579614983146
2022-06-16,130.82078586633295,127.94089028298973,144.17643621410687,130.82078586633295,130.82078586633295,5.4417385260778515,5.4417385260778515,5.4417385260778515,1.8202781077677606,1.8202781077677606,1.8202781077677606,3.6214604183100922,3.6214604183100922,3.6214604183100922,0.0,0.0,0.0,136.2625243924108
2022-06-17,130.87094212979525,128.1403368170517,144.3033794813271,130.87094212979525,130.87094212979525,5.2996747284488865,5.2996747284488865,5.2996747284488865,1.8373290951250385,1.8373290951250385,1.8373290951250385,3.462345633323849,3.462345633323849,3.462345633323849,0.0,0.0,0.0,136.17061685824413
2022-06-21,131.07156718364436,127.43869187983445,143.181631301597,131.07156718364436,131.07156718364436,4.474167526655906,4.474167526655906,4.474167526655906,1.9418177187155423,1.9418177187155423,1.9418177187155423,2.5323498079403644,2.5323498079403644,2.5323498079403644,0.0,0.0,0.0,135.54573471030028
2022-06-22,131.12172344710666,127.13803139172347,143.61913163993455,131.12172344710666,131.12172344710666,4.15687624514091,4.15687624514091,4.15687624514091,1.9100858255398818,1.9100858255398818,1.9100858255398818,2.2467904196010275,2.2467904196010275,2.2467904196010275,0.0,0.0,0.0,135.27859969224758
2022-06-23,131.17187971056896,127.14314091978754,143.2887325223191,131.17187971056896,131.17187971056896,3.769940780950178,3.769940780950178,3.769940780950178,1.820278107766945,1.820278107766945,1.820278107766945,1.9496626731832327,1.9496626731832327,1.9496626731832327,0.0,0.0,0.0,134.94182049151914
2022-06-24,131.22203597403123,127.49764083009751,142.77987556256855,131.22203597403123,131.22203597403123,3.48361327551141,3.48361327551141,3.48361327551141,1.8373290951204566,1.8373290951204566,1.8373290951204566,1.6462841803909534,1.6462841803909534,1.6462841803909534,0.0,0.0,0.0,134.70564924954263
2022-06-27,131.37250476441807,126.06256244428833,141.66786312553484,131.37250476441807,131.37250476441807,2.6569167140666514,2.6569167140666514,2.6569167140666514,1.9041787991229482,1.9041787991229482,1.9041787991229482,0.7527379149437027,0.7527379149437027,0.7527379149437027,0.0,0.0,0.0,134.02942147848472
2022-06-28,131.42266102788034,126.45461498571261,141.5696525266095,131.42266102788034,131.42266102788034,2.4197799100247996,2.4197799100247996,2.4197799100247996,1.9418177187163355,1.9418177187163355,1.9418177187163355,0.4779621913084637,0.4779621913084637,0.4779621913084637,0.0,0.0,0.0,133.84244093790514
2022-06-29,131.47281729134264,126.23769120895302,141.2144568832942,131.47281729134264,131.47281729134264,2.1329494957077544,2.1329494957077544,2.1329494957077544,1.9100858255398172,1.9100858255398172,1.9100858255398172,0.22286367016793662,0.22286367016793662,0.22286367016793662,0.0,0.0,0.0,133.60576678705038
2022-06-30,131.5229735548049,125.82695373684534,141.1924569102129,131.5229735548049,131.5229735548049,1.8120090337917967,1.8120090337917967,1.8120090337917967,1.8202781077619716,1.8202781077619716,1.8202781077619716,-0.00826907397017475,-0.00826907397017475,-0.00826907397017475,0.0,0.0,0.0,133.33498258859672
2022-07-01,131.5731298182672,124.88408126065134,140.97332196746484,131.5731298182672,131.5731298182672,1.6256551667291115,1.6256551667291115,1.6256551667291115,1.8373290951158752,1.8373290951158752,1.8373290951158752,-0.2116739283867637,-0.2116739283867637,-0.2116739283867637,0.0,0.0,0.0,133.1987849849963
2022-07-05,131.7737548721163,125.3875331154632,141.0652198966238,131.7737548721163,131.7737548721163,1.2466647571476512,1.2466647571476512,1.2466647571476512,1.94181771871447,1.94181771871447,1.94181771871447,-0.6951529615668185,-0.6951529615668185,-0.6951529615668185,0.0,0.0,0.0,133.02041962926396
2022-07-06,131.82391113557858,125.3126590071172,141.20212003088923,131.82391113557858,131.82391113557858,1.1835350253429329,1.1835350253429329,1.1835350253429329,1.9100858255397524,1.9100858255397524,1.9100858255397524,-0.7265508001968194,-0.7265508001968194,-0.7265508001968194,0.0,0.0,0.0,133.00744616092152
2022-07-07,131.8740673990409,125.59592555717076,141.08815853579947,131.8740673990409,131.8740673990409,1.0982427174151128,1.0982427174151128,1.0982427174151128,1.820278107761156,1.820278107761156,1.820278107761156,-0.7220353903460431,-0.7220353903460431,-0.7220353903460431,0.0,0.0,0.0,132.97231011645601
2022-07-08,131.92422366250318,125.75304866515917,140.71986668836897,131.92422366250318,131.92422366250318,1.1544604192070398,1.1544604192070398,1.1544604192070398,1.837329095111294,1.837329095111294,1.837329095111294,-0.6828686759042542,-0.6828686759042542,-0.6828686759042542,0.0,0.0,0.0,133.0786840817102
2022-07-11,132.07469245289002,125.13006718880273,141.7490221300276,132.07469245289002,132.07469245289002,1.5236685341215468,1.5236685341215468,1.5236685341215468,1.904178799107834,1.904178799107834,1.904178799107834,-0.38051026498628693,-0.38051026498628693,-0.38051026498628693,0.0,0.0,0.0,133.59836098701157
2022-07-12,132.1248487163523,125.98073272587716,141.57515424426865,132.1248487163523,132.1248487163523,1.7129636733204836,1.7129636733204836,1.7129636733204836,1.9418177187126038,1.9418177187126038,1.9418177187126038,-0.22885404539211981,-0.22885404539211981,-0.22885404539211981,0.0,0.0,0.0,133.83781238967276
2022-07-13,132.1750049798146,126.5936740878028,141.7976270142606,132.1750049798146,132.1750049798146,1.851681172356142,1.851681172356142,1.851681172356142,1.9100858255396895,1.9100858255396895,1.9100858255396895,-0.058404653183547824,-0.058404653183547824,-0.058404653183547824,0.0,0.0,0.0,134.02668615217073
2022-07-14,132.22516124327686,125.42635691656224,142.08555124160372,132.22516124327686,132.22516124327686,1.9465598766794154,1.9465598766794154,1.9465598766794154,1.8202781077656571,1.8202781077656571,1.8202781077656571,0.1262817689137583,0.1262817689137583,0.1262817689137583,0.0,0.0,0.0,134.17172111995626
2022-07-15,132.27531750673916,126.91063778760727,142.71988730251095,132.27531750673916,132.27531750673916,2.1577384186036297,2.1577384186036297,2.1577384186036297,1.8373290951115038,1.8373290951115038,1.8373290951115038,0.3204093234921258,0.3204093234921258,0.3204093234921258,0.0,0.0,0.0,134.43305592534279
2022-07-18,132.425786297126,126.8221072259581,143.36735209704463,132.425786297126,132.425786297126,2.8143213502152142,2.8143213502152142,2.8143213502152142,1.9041787991076977,1.9041787991076977,1.9041787991076977,0.910142551107517,0.910142551107517,0.910142551107517,0.0,0.0,0.0,135.2401076473412
2022-07-19,132.47594256058827,127.52272904349411,143.31092678271372,132.47594256058827,132.47594256058827,3.034865389475661,3.034865389475661,3.034865389475661,1.9418177187176797,1.9418177187176797,1.9418177187176797,1.093047670757982,1.093047670757982,1.093047670757982,0.0,0.0,0.0,135.51080795006393
2022-07-20,132.52609882405054,127.89329543686857,142.85776141902662,132.52609882405054,132.52609882405054,3.1716590815957004,3.1716590815957004,3.1716590815957004,1.9100858255396247,1.9100858255396247,1.9100858255396247,1.2615732560560757,1.2615732560560757,1.2615732560560757,0.0,0.0,0.0,135.69775790564623
2022-07-21,132.57625508751286,128.17171032285515,143.27923232971656,132.57625508751286,132.57625508751286,3.2319835930543475,3.2319835930543475,3.2319835930543475,1.8202781077648411,1.8202781077648411,1.8202781077648411,1.411705485289506,1.411705485289506,1.411705485289506,0.0,0.0,0.0,135.8082386805672
2022-07-22,132.626411352673,127.62054333952511,144.05290412963424,132.626411352673,132.626411352673,3.377218681619857,3.377218681619857,3.377218681619857,1.8373290951261478,1.8373290951261478,1.8373290951261478,1.5398895864937092,1.5398895864937092,1.5398895864937092,0.0,0.0,0.0,136.00363003429285
2022-07-25,132.7768801481534,129.12638510997257,144.27907857195393,132.7768801481534,132.7768801481534,3.669625555929615,3.669625555929615,3.669625555929615,1.904178799117146,1.904178799117146,1.904178799117146,1.7654467568124692,1.7654467568124692,1.7654467568124692,0.0,0.0,0.0,136.44650570408302
2022-07-26,132.82703641331355,128.19149609848984,144.21859201890484,132.82703641331355,132.82703641331355,3.7234195714311142,3.7234195714311142,3.7234195714311142,1.941817718715814,1.941817718715814,1.941817718715814,1.7816018527153001,1.7816018527153001,1.7816018527153001,0.0,0.0,0.0,136.55045598474467
2022-07-27,132.87719267847368,128.46444008948515,144.66357085755405,132.87719267847368,132.87719267847368,3.6769379811424967,3.6769379811424967,3.6769379811424967,1.9100858255399134,1.9100858255399134,1.9100858255399134,1.766852155602583,1.766852155602583,1.766852155602583,0.0,0.0,0.0,136.55413065961616
2022-07-28,132.9273489436338,128.90812047850878,144.75853800086324,132.9273489436338,132.9273489436338,3.5416299022225743,3.5416299022225743,3.5416299022225743,1.820278107764026,1.820278107764026,1.820278107764026,1.7213517944585484,1.7213517944585484,1.7213517944585484,0.0,0.0,0.0,136.46897884585638
2022-07-29,132.97750520879396,128.70685149094012,144.24798248167025,132.97750520879396,132.97750520879396,3.483221830023157,3.483221830023157,3.483221830023157,1.837329095126357,1.837329095126357,1.837329095126357,1.6458927348968002,1.6458927348968002,1.6458927348968002,0.0,0.0,0.0,136.4607270388171
2022-08-01,133.12797400427436,127.90850364304067,144.1103043770965,133.12797400427436,133.12797400427436,3.160617631156953,3.160617631156953,3.160617631156953,1.90417879911701,1.90417879911701,1.90417879911701,1.256438832039943,1.256438832039943,1.256438832039943,0.0,0.0,0.0,136.28859163543132
2022-08-02,133.17813026943452,128.24545951376558,143.5617901061992,133.17813026943452,133.17813026943452,3.022169341824536,3.022169341824536,3.022169341824536,1.9418177187139476,1.9418177187139476,1.9418177187139476,1.080351623110589,1.080351623110589,1.080351623110589,0.0,0.0,0.0,136.20029961125906
2022-08-03,133.22828653459467,127.56734007901069,143.39202371910002,133.22828653459467,133.22828653459467,2.796283408205685,2.796283408205685,2.796283408205685,1.9100858255398494,1.9100858255398494,1.9100858255398494,0.8861975826658356,0.8861975826658356,0.8861975826658356,0.0,0.0,0.0,136.02456994280035
2022-08-04,133.2784427997548,128.10754016718184,144.10506172596047,133.2784427997548,133.2784427997548,2.4977410800752917,2.4977410800752917,2.4977410800752917,1.820278107768527,1.820278107768527,1.820278107768527,0.6774629723067649,0.6774629723067649,0.6774629723067649,0.0,0.0,0.0,135.77618387983009
2022-08-05,133.32859906491493,127.84333060811392,143.67382935983883,133.32859906491493,133.32859906491493,2.295138026078305,2.295138026078305,2.295138026078305,1.8373290951121939,1.8373290951121939,1.8373290951121939,0.4578089309661105,0.4578089309661105,0.4578089309661105,0.0,0.0,0.0,135.62373709099322
2022-08-08,133.47906786039536,127.35615376782924,143.0399906113053,133.47906786039536,133.47906786039536,1.6748447415824015,1.6748447415824015,1.6748447415824015,1.9041787991168742,1.9041787991168742,1.9041787991168742,-0.2293340575344726,-0.2293340575344726,-0.2293340575344726,0.0,0.0,0.0,135.15391260197777
2022-08-09,133.5292241255555,126.61336078557314,143.18174690405496,133.5292241255555,133.5292241255555,1.4861113628734637,1.4861113628734637,1.4861113628734637,1.941817718714742,1.941817718714742,1.941817718714742,-0.4557063558412781,-0.4557063558412781,-0.4557063558412781,0.0,0.0,0.0,135.01533548842895
2022-08-10,133.57938039071564,127.17513775659137,142.83257581602624,133.57938039071564,133.57938039071564,1.2349027895999283,1.2349027895999283,1.2349027895999283,1.910085825539785,1.910085825539785,1.910085825539785,-0.6751830359398568,-0.6751830359398568,-0.6751830359398568,0.0,0.0,0.0,134.81428318031556
2022-08-11,133.62953665587574,126.19216335315511,142.30349464973742,133.62953665587574,133.62953665587574,0.9354090370145935,0.9354090370145935,0.9354090370145935,1.820278107767712,1.820278107767712,1.820278107767712,-0.8848690707531182,-0.8848690707531182,-0.8848690707531182,0.0,0.0,0.0,134.56494569289032
2022-08-12,133.6796929210359,126.25869156297057,142.0940247977579,133.6796929210359,133.6796929210359,0.755080858769281,0.755080858769281,0.755080858769281,1.8373290951316288,1.8373290951316288,1.8373290951316288,-1.0822482363623476,-1.0822482363623476,-1.0822482363623476,0.0,0.0,0.0,134.43477377980517
2022-08-15,133.83016171651633,126.44325894535892,142.30987290340306,133.83016171651633,133.83016171651633,0.3222173999789205,0.3222173999789205,0.3222173999789205,1.904178799126322,1.904178799126322,1.904178799126322,-1.5819613991474013,-1.5819613991474013,-1.5819613991474013,0.0,0.0,0.0,134.15237911649524
2022-08-16,133.88031798167646,126.28733847329008,142.15662605857858,133.88031798167646,133.88031798167646,0.2279112690600416,0.2279112690600416,0.2279112690600416,1.9418177187102157,1.9418177187102157,1.9418177187102157,-1.7139064496501746,-1.7139064496501746,-1.7139064496501746,0.0,0.0,0.0,134.10822925073649
2022-08-17,133.9304742468366,125.72700845885318,141.9152488887775,133.9304742468366,133.9304742468366,0.0822361302621842,0.0822361302621842,0.0822361302621842,1.9100858255397213,1.9100858255397213,1.9100858255397213,-1.827849695277537,-1.827849695277537,-1.827849695277537,0.0,0.0,0.0,134.01271037709878
2022-08-18,133.98063051199674,125.45677669841744,142.14924152383276,133.98063051199674,133.98063051199674,-0.10381538680157824,-0.10381538680157824,-0.10381538680157824,1.8202781077627384,1.8202781077627384,1.8202781077627384,-1.9240934945643162,-1.9240934945643162,-1.9240934945643162,0.0,0.0,0.0,133.87681512519515
2022-08-19,134.03078677715686,126.1518592173649,142.31078328194917,134.03078677715686,134.03078677715686,-0.16605470264287614,-0.16605470264287614,-0.16605470264287614,1.8373290951270473,1.8373290951270473,1.8373290951270473,-2.003383797769924,-2.003383797769924,-2.003383797769924,0.0,0.0,0.0,133.864732074514
2022-08-22,134.1812555726373,125.13182372480942,142.09831052872684,134.1812555726373,134.1812555726373,-0.2485951819865366,-0.2485951819865366,-0.2485951819865366,1.9041787991065509,1.9041787991065509,1.9041787991065509,-2.1527739810930875,-2.1527739810930875,-2.1527739810930875,0.0,0.0,0.0,133.93266039065077
2022-08-23,134.23141183779742,125.1387313508806,141.63783192399546,134.23141183779742,134.23141183779742,-0.2372294044801847,-0.2372294044801847,-0.2372294044801847,1.9418177187179515,1.9418177187179515,1.9418177187179515,-2.179047123198136,-2.179047123198136,-2.179047123198136,0.0,0.0,0.0,133.99418243331723
2022-08-24,134.28156810295755,126.46744050577986,142.0547777921735,134.28156810295755,134.28156810295755,-0.2870209079262977,-0.2870209079262977,-0.2870209079262977,1.9100858255396573,1.9100858255396573,1.9100858255396573,-2.1971067334659553,-2.1971067334659553,-2.1971067334659553,0.0,0.0,0.0,133.99454719503126
2022-08-25,134.3317243681177,125.6415652856949,142.20145718219192,134.3317243681177,134.3317243681177,-0.38900118928629207,-0.38900118928629207,-0.38900118928629207,1.8202781077619226,1.8202781077619226,1.8202781077619226,-2.2092792970482145,-2.2092792970482145,-2.2092792970482145,0.0,0.0,0.0,133.94272317883141
2022-08-26,134.38188063327786,125.93759671776895,142.03419722933558,134.38188063327786,134.38188063327786,-0.3805972062456926,-0.3805972062456926,-0.3805972062456926,1.8373290951272567,1.8373290951272567,1.8373290951272567,-2.217926301372949,-2.217926301372949,-2.217926301372949,0.0,0.0,0.0,134.00128342703218
2022-08-29,134.5323494287583,125.96751553981053,141.539952275256,134.5323494287583,134.5323494287583,-0.3412716376376154,-0.3412716376376154,-0.3412716376376154,1.9041787991159993,1.9041787991159993,1.9041787991159993,-2.2454504367536146,-2.2454504367536146,-2.2454504367536146,0.0,0.0,0.0,134.19107779112068
2022-08-30,134.58250569391842,126.40133274440394,142.25979049597285,134.58250569391842,134.58250569391842,-0.3201920274476029,-0.3201920274476029,-0.3201920274476029,1.9418177187160854,1.9418177187160854,1.9418177187160854,-2.2620097461636886,-2.2620097461636886,-2.2620097461636886,0.0,0.0,0.0,134.26231366647082
2022-08-31,134.63266195907855,126.5803059125816,141.80417449800427,134.63266195907855,134.63266195907855,-0.3750572187680627,-0.3750572187680627,-0.3750572187680627,1.9100858255395925,1.9100858255395925,1.9100858255395925,-2.285143044307656,-2.285143044307656,-2.285143044307656,0.0,0.0,0.0,134.25760474031048
2022-09-01,134.68281822423867,126.19909700850594,141.6155107465314,134.68281822423867,134.68281822423867,-0.4958837478622289,-0.4958837478622289,-0.4958837478622289,1.8202781077664236,1.8202781077664236,1.8202781077664236,-2.316161855628652,-2.316161855628652,-2.316161855628652,0.0,0.0,0.0,134.18693447637645
2022-09-02,134.73297448939883,125.79201220459038,142.06841964126917,134.73297448939883,134.73297448939883,-0.5187278073468735,-0.5187278073468735,-0.5187278073468735,1.8373290951274666,1.8373290951274666,1.8373290951274666,-2.3560569024743394,-2.3560569024743394,-2.3560569024743394,0.0,0.0,0.0,134.21424668205196
2022-09-06,134.93359955003936,125.8090629124293,142.12073377498996,134.93359955003936,134.93359955003936,-0.6705139235071849,-0.6705139235071849,-0.6705139235071849,1.94181771871688,1.94181771871688,1.94181771871688,-2.6123316422240643,-2.6123316422240643,-2.6123316422240643,0.0,0.0,0.0,134.2630856265322
2022-09-07,134.98375581519952,125.99663582756497,142.47233583001432,134.98375581519952,134.98375581519952,-0.7895545627695493,-0.7895545627695493,-0.7895545627695493,1.9100858255395297,1.9100858255395297,1.9100858255395297,-2.699640388309079,-2.699640388309079,-2.699640388309079,0.0,0.0,0.0,134.19420125242996
2022-09-08,135.03391208035967,126.19842384323533,142.4311440457119,135.03391208035967,135.03391208035967,-0.9745311517901949,-0.9745311517901949,-0.9745311517901949,1.82027810776145,1.82027810776145,1.82027810776145,-2.794809259551645,-2.794809259551645,-2.794809259551645,0.0,0.0,0.0,134.05938092856948
2022-09-09,135.0840683455198,126.1516614315238,141.83570386878313,135.0840683455198,135.0840683455198,-1.0593489622477088,-1.0593489622477088,-1.0593489622477088,1.837329095118094,1.837329095118094,1.837329095118094,-2.896678057365803,-2.896678057365803,-2.896678057365803,0.0,0.0,0.0,134.0247193832721
2022-09-12,135.2345371410002,126.40609750429398,142.38282877326796,135.2345371410002,135.2345371410002,-1.3242446064941282,-1.3242446064941282,-1.3242446064941282,1.9041787991205195,1.9041787991205195,1.9041787991205195,-3.228423405614648,-3.228423405614648,-3.228423405614648,0.0,0.0,0.0,133.91029253450608
